Date,Open,High,Low,Close,Adj Close, Volume 
5/18/2012,42.05,45,38,38.23,38.23,"573,576,400"
5/21/2012,36.53,36.66,33,34.03,34.03,"168,192,700"
5/22/2012,32.61,33.59,30.94,31,31,"101,786,600"
5/23/2012,31.37,32.5,31.36,32,32,"73,600,000"
5/24/2012,32.95,33.21,31.77,33.03,33.03,"50,237,200"
5/25/2012,32.9,32.95,31.11,31.91,31.91,"37,149,800"
5/29/2012,31.48,31.69,28.65,28.84,28.84,"78,063,400"
5/30/2012,28.7,29.55,27.86,28.19,28.19,"57,267,900"
5/31/2012,28.55,29.67,26.83,29.6,29.6,"111,639,200"
6/1/2012,28.89,29.15,27.39,27.72,27.72,"41,855,500"
6/4/2012,27.2,27.65,26.44,26.9,26.9,"35,230,300"
6/5/2012,26.7,27.76,25.75,25.87,25.87,"42,473,400"
6/6/2012,26.07,27.17,25.52,26.81,26.81,"61,489,200"
6/7/2012,27,27.35,26.15,26.31,26.31,"26,159,500"
6/8/2012,26.55,27.76,26.44,27.1,27.1,"38,034,000"
6/11/2012,27.18,28.07,26.84,27.01,27.01,"28,219,600"
6/12/2012,27.48,27.77,26.96,27.4,27.4,"15,816,800"
6/13/2012,27.66,28.1,27.1,27.27,27.27,"17,102,800"
6/14/2012,27.65,28.32,27.38,28.29,28.29,"16,855,000"
6/15/2012,28.51,30.1,28.35,30.01,30.01,"43,563,800"
6/18/2012,29.96,32.08,29.41,31.41,31.41,"42,978,900"
6/19/2012,31.54,32.18,30.7,31.91,31.91,"30,849,000"
6/20/2012,31.92,31.93,31.15,31.6,31.6,"15,553,600"
6/21/2012,31.67,32.5,31.51,31.84,31.84,"21,875,300"
6/22/2012,32.41,33.45,32.06,33.05,33.05,"74,834,000"
6/25/2012,32.86,33.02,31.55,32.06,32.06,"24,352,900"
6/26/2012,32.69,33.44,32.5,33.1,33.1,"24,858,700"
6/27/2012,32.46,32.9,31.9,32.23,32.23,"28,568,000"
6/28/2012,31.96,32.19,30.9,31.36,31.36,"17,713,300"
6/29/2012,31.92,31.99,30.76,31.1,31.1,"19,526,900"
7/2/2012,31.25,31.73,30.55,30.77,30.77,"14,122,000"
7/3/2012,30.91,31.44,30.8,31.2,31.2,"8,763,600"
7/5/2012,31.32,31.63,31.02,31.47,31.47,"10,032,100"
7/6/2012,31.44,31.9,31.26,31.73,31.73,"10,945,600"
7/9/2012,32.1,32.88,31.99,32.17,32.17,"17,785,200"
7/10/2012,32.43,32.48,31.16,31.47,31.47,"14,269,500"
7/11/2012,31.48,31.56,30.55,30.97,30.97,"13,030,300"
7/12/2012,30.7,31.4,30.6,30.81,30.81,"11,300,700"
7/13/2012,31.04,31.07,30.56,30.72,30.72,"8,108,300"
7/16/2012,30.5,30.5,28.21,28.25,28.25,"24,672,100"
7/17/2012,28.48,28.59,27.15,28.09,28.09,"30,438,600"
7/18/2012,28.31,29.29,28.15,29.11,29.11,"16,841,800"
7/19/2012,29.41,29.5,28.63,29,29,"13,685,100"
7/20/2012,29,29.47,28.72,28.76,28.76,"11,869,100"
7/23/2012,28.12,29,28.01,28.75,28.75,"12,390,700"
7/24/2012,28.82,29.45,28.1,28.45,28.45,"11,539,800"
7/25/2012,28.39,29.49,28.08,29.34,29.34,"17,230,200"
7/26/2012,27.75,28.23,26.73,26.85,26.85,"64,597,400"
7/27/2012,23.19,24.54,22.28,23.71,23.71,"123,102,300"
7/30/2012,24,24.04,23.03,23.15,23.15,"29,285,900"
7/31/2012,23.37,23.37,21.61,21.71,21.71,"56,179,400"
8/1/2012,21.5,21.58,20.84,20.88,20.88,"44,604,400"
8/2/2012,20.77,20.84,19.82,20.04,20.04,"56,374,500"
8/3/2012,20.36,22.16,19.9,21.09,21.09,"80,647,000"
8/6/2012,21.39,22.15,21.3,21.92,21.92,"27,778,900"
8/7/2012,22.2,22.45,20.5,20.72,20.72,"36,782,900"
8/8/2012,20.71,21.15,20.22,20.72,20.72,"29,537,400"
8/9/2012,20.75,21.17,20.61,21.01,21.01,"15,610,700"
8/10/2012,21.41,21.82,21.13,21.81,21.81,"25,794,700"
8/13/2012,22.15,22.45,21.4,21.6,21.6,"24,973,100"
8/14/2012,21.41,21.6,20.25,20.38,20.38,"39,308,800"
8/15/2012,20.64,21.41,20.4,21.2,21.2,"47,861,100"
8/16/2012,20.44,20.48,19.69,19.87,19.87,"157,565,300"
8/17/2012,20.01,20.08,19,19.05,19.05,"129,293,400"
8/20/2012,19.05,20.13,18.75,20.01,20.01,"101,186,600"
8/21/2012,19.58,19.98,19.09,19.16,19.16,"70,640,600"
8/22/2012,19.36,19.53,18.96,19.44,19.44,"49,892,200"
8/23/2012,19.5,19.73,19.36,19.44,19.44,"32,813,700"
8/24/2012,19.52,19.68,19.25,19.41,19.41,"29,622,200"
8/27/2012,19.49,19.53,19.1,19.15,19.15,"20,704,000"
8/28/2012,19.1,19.38,18.95,19.34,19.34,"25,417,000"
8/29/2012,19.32,19.38,19.07,19.1,19.1,"16,124,700"
8/30/2012,19.27,19.45,19.06,19.09,19.09,"30,647,500"
8/31/2012,18.68,18.7,18.03,18.06,18.06,"58,764,200"
9/4/2012,18.08,18.27,17.55,17.73,17.73,"46,622,400"
9/5/2012,18.27,18.75,18.18,18.58,18.58,"60,781,800"
9/6/2012,18.74,19.26,18.72,18.96,18.96,"46,066,500"
9/7/2012,19.1,19.42,18.78,18.98,18.98,"36,371,700"
9/10/2012,19.06,19.2,18.55,18.81,18.81,"24,797,800"
9/11/2012,18.92,19.58,18.85,19.43,19.43,"50,508,200"
9/12/2012,20.76,21.16,20.28,20.93,20.93,"121,584,000"
9/13/2012,20.96,21.48,20.61,20.71,20.71,"65,041,600"
9/14/2012,21.13,22.08,20.9,22,22,"72,819,800"
9/17/2012,22.67,22.75,21.5,21.52,21.52,"50,667,600"
9/18/2012,21.6,21.98,21.37,21.87,21.87,"36,760,500"
9/19/2012,21.99,23.37,21.77,23.29,23.29,"78,782,800"
9/20/2012,23.02,23.24,22.54,22.59,22.59,"57,248,900"
9/21/2012,22.97,23.24,22.6,22.86,22.86,"51,218,100"
9/24/2012,21.78,21.98,20.36,20.79,20.79,"79,106,500"
9/25/2012,21.2,21.21,20.22,20.28,20.28,"46,291,700"
9/26/2012,20.15,20.78,19.8,20.62,20.62,"38,271,900"
9/27/2012,20.99,21,20.16,20.32,20.32,"30,215,900"
9/28/2012,20.57,21.95,20.5,21.66,21.66,"65,486,000"
10/1/2012,22.08,22.59,21.73,21.99,21.99,"51,262,700"
10/2/2012,22.08,22.49,21.82,22.27,22.27,"29,341,400"
10/3/2012,22.3,22.49,21.8,21.83,21.83,"32,000,100"
10/4/2012,22.32,22.4,21.41,21.95,21.95,"46,892,100"
10/5/2012,21.49,21.63,20.88,20.91,20.91,"40,529,300"
10/8/2012,20.4,20.75,20.16,20.4,20.4,"32,236,700"
10/9/2012,20.39,20.55,19.97,20.23,20.23,"27,161,800"
10/10/2012,19.93,19.94,19.45,19.64,19.64,"39,321,800"
10/11/2012,19.88,19.96,19.61,19.75,19.75,"21,817,300"
10/12/2012,19.75,19.8,19.48,19.52,19.52,"18,809,400"
10/15/2012,19.68,19.88,19.49,19.52,19.52,"20,189,700"
10/16/2012,19.68,19.69,19.3,19.48,19.48,"21,834,700"
10/17/2012,19.5,20.48,19.37,19.88,19.88,"44,074,500"
10/18/2012,19.7,19.79,18.89,18.98,18.98,"52,157,400"
10/19/2012,19,19.06,18.8,19,19,"34,835,000"
10/22/2012,19.2,19.43,19.05,19.32,19.32,"32,447,300"
10/23/2012,19.25,19.8,19.1,19.5,19.5,"78,381,200"
10/24/2012,24.13,24.25,22.85,23.23,23.23,"228,949,900"
10/25/2012,23.29,23.31,22.47,22.56,22.56,"76,142,000"
10/26/2012,22.4,22.88,21.88,21.94,21.94,"73,175,800"
10/31/2012,20.82,21.5,20.73,21.11,21.11,"99,378,200"
11/1/2012,21.08,21.44,21.01,21.21,21.21,"37,713,900"
11/2/2012,21.26,21.69,21.07,21.18,21.18,"38,344,400"
11/5/2012,21.1,21.48,20.92,21.25,21.25,"31,806,700"
11/6/2012,21.24,21.37,20.99,21.17,21.17,"29,062,700"
11/7/2012,20.85,20.95,20.37,20.47,20.47,"33,396,800"
11/8/2012,20.52,20.73,19.98,19.99,19.99,"34,254,600"
11/9/2012,19.96,20,19.13,19.21,19.21,"42,295,500"
11/12/2012,19.15,20.17,18.87,20.07,20.07,"67,349,200"
11/13/2012,19.61,20.11,19.56,19.86,19.86,"71,775,100"
11/14/2012,20.1,22.5,19.93,22.36,22.36,"229,751,000"
